"name","same_as","shortname_mx10","shortname_novoc","shortname_novoc_max10","entity","nerc_url","key"
"acceleration axes","","acc_axes","cclrtnxs","cclrtnxs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000001","MVB000001"
"acceleration raw x","","acc_raw_x","cclrtnrwx","cclrtnrwx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000002","MVB000002"
"acceleration raw y","","acc_raw_y","cclrtnrwy","cclrtnrwy","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000003","MVB000003"
"acceleration raw z","","acc_raw_z","cclrtnrwz","cclrtnrwz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000004","MVB000004"
"acceleration sampling frequency per axis","","acc_freq","cclrtnsmplngfrqncyprxs","cclrtnsmpl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000005","MVB000005"
"acceleration x","","acc_x","cclrtnx","cclrtnx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006","MVB000006"
"acceleration y","","acc_y","cclrtny","cclrtny","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007","MVB000007"
"acceleration z","","acc_z","cclrtnz","cclrtnz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000008","MVB000008"
"accelerations raw","","acc_raw","cclrtnsrw","cclrtnsrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000009","MVB000009"
"acknowledgements","","acknowldgm","cknwldgmnts","cknwldgmnt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000010","MVB000010"
"algorithm marked outlier","","alg_outl","lgrthmmrkdtlr","lgrthmmrkd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000011","MVB000011"
"alt project ID","","alt_projid","ltprjctID","ltprjctID","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000244","MVB000244"
"angular velocities raw","","angvel_raw","nglrvlctsrw","nglrvlctsr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000245","MVB000245"
"angular velocity X","","angvel_x","nglrvlctyX","nglrvlctyX","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000246","MVB000246"
"angular velocity Y","","angvel_y","nglrvlctyY","nglrvlctyY","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000247","MVB000247"
"angular velocity Z","","angvel_z","nglrvlctyZ","nglrvlctyZ","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000248","MVB000248"
"animal comments","","animal_com","nmlcmmnts","nmlcmmnts","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000012","MVB000012"
"animal death comments","","ani","nmldthcmmnts","nmldthcmmn","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000013","MVB000013"
"animal earliest date born","","","nmlrlstdtbrn","nmlrlstdtb","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000014","MVB000014"
"animal exact date of birth","","","nmlxctdtfbrth","nmlxctdtfb","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000015","MVB000015"
"animal ID","individual local identifier","","nmlID","nmlID","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000016","MVB000016"
"animal latest date born","","","nmlltstdtbrn","nmlltstdtb","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000017","MVB000017"
"animal life stage","","","nmllfstg","nmllfstg","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000018","MVB000018"
"animal mass","","","nmlmss","nmlmss","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000019","MVB000019"
"animal nickname","","","nmlncknm","nmlncknm","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000020","MVB000020"
"animal reproductive condition","","","nmlrprdctvcndtn","nmlrprdctv","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000021","MVB000021"
"animal ring ID","","","nmlrngID","nmlrngID","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000022","MVB000022"
"animal sex","","","nmlsx","nmlsx","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000023","MVB000023"
"animal taxon","individual taxon canonical name","","nmltxn","nmltxn","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000024","MVB000024"
"animal taxon detail","","","nmltxndtl","nmltxndtl","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000025","MVB000025"
"Argos altitude","","","Argslttd","Argslttd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000026","MVB000026"
"Argos best level","","","Argsbstlvl","Argsbstlvl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000027","MVB000027"
"Argos calcul freq","","","Argsclclfrq","Argsclclfr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000028","MVB000028"
"Argos error radius","","","Argsrrrrds","Argsrrrrds","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000029","MVB000029"
"Argos GDOP","","","ArgsGDOP","ArgsGDOP","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000030","MVB000030"
"Argos IQ","","","ArgsIQ","ArgsIQ","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000031","MVB000031"
"Argos lat1","","","Argslt1","Argslt1","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000032","MVB000032"
"Argos lat2","","","Argslt2","Argslt2","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000033","MVB000033"
"Argos LC","","","ArgsLC","ArgsLC","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000034","MVB000034"
"Argos lon1","","","Argsln1","Argsln1","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000035","MVB000035"
"Argos lon2","","","Argsln2","Argsln2","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000036","MVB000036"
"Argos nb mes","","","Argsnbms","Argsnbms","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000037","MVB000037"
"Argos nb mes 120","","","Argsnbms120","Argsnbms12","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000038","MVB000038"
"Argos NOPC","","","ArgsNOPC","ArgsNOPC","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000039","MVB000039"
"Argos orientation","","","Argsrnttn","Argsrnttn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000040","MVB000040"
"Argos pass duration","","","Argspssdrtn","Argspssdrt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000041","MVB000041"
"Argos sat ID","Argos satellite ID","","ArgsstID","ArgsstID","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000042","MVB000042"
"Argos semi major","","","Argssmmjr","Argssmmjr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000043","MVB000043"
"Argos semi minor","","","Argssmmnr","Argssmmnr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000044","MVB000044"
"Argos sensor 1","","","Argssnsr1","Argssnsr1","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000045","MVB000045"
"Argos sensor 2","","","Argssnsr2","Argssnsr2","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000046","MVB000046"
"Argos sensor 3","","","Argssnsr3","Argssnsr3","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000047","MVB000047"
"Argos sensor 4","","","Argssnsr4","Argssnsr4","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000048","MVB000048"
"Argos transmission timestamp","","","Argstrnsmssntmstmp","Argstrnsms","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000049","MVB000049"
"Argos valid location algorithm","","","Argsvldlctnlgrthm","Argsvldlct","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000050","MVB000050"
"Argos valid location manual","","","Argsvldlctnmnl","Argsvldlct","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000051","MVB000051"
"attachment type","","","ttchmnttyp","ttchmnttyp","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000052","MVB000052"
"barometric depth","bar barometric depth","","brmtrcdpth","brmtrcdpth","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000053","MVB000053"
"barometric height","bar barometric height","","brmtrchght","brmtrchght","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000054","MVB000054"
"barometric pressure","bar barometric pressure","","brmtrcprssr","brmtrcprss","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000055","MVB000055"
"BAS compensated latitude","","","BAScmpnstdlttd","BAScmpnstd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000056","MVB000056"
"BAS confidence","","","BAScnfdnc","BAScnfdnc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000057","MVB000057"
"BAS fix type","","","BASfxtyp","BASfxtyp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000058","MVB000058"
"BAS mid value secs","","","BASmdvlscs","BASmdvlscs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000059","MVB000059"
"BAS stationary latitude","","","BASsttnrylttd","BASsttnryl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000060","MVB000060"
"BAS transition 1","","","BAStrnstn1","BAStrnstn1","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000061","MVB000061"
"BAS transition 2","","","BAStrnstn2","BAStrnstn2","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000062","MVB000062"
"battery charge percent","","","bttrychrgprcnt","bttrychrgp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000063","MVB000063"
"battery charging current","","","bttrychrgngcrrnt","bttrychrgn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000064","MVB000064"
"behavior according to","behaviour according to","","bhvrccrdngt","bhvrccrdng","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000066","MVB000066"
"behavioural classification","","","bhvrlclssfctn","bhvrlclssf","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000067","MVB000067"
"citation","","","cttn","cttn","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000068","MVB000068"
"comments","","","cmmnts","cmmnts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000069","MVB000069"
"compass heading","","","cmpsshdng","cmpsshdng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000070","MVB000070"
"conductivity","","","cndctvty","cndctvty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000071","MVB000071"
"contact person","contact person name","","cntctprsn","cntctprsn","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000072","MVB000072"
"CPU temperature","","","CPUtmprtr","CPUtmprtr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000249","MVB000249"
"data decoding software","","","dtdcdngsftwr","dtdcdngsft","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000214","MVB000214"
"data processing software","","","dtprcssngsftwr","dtprcssngs","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000073","MVB000073"
"deploy off latitude","","","dplyfflttd","dplyfflttd","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000074","MVB000074"
"deploy off longitude","","","dplyfflngtd","dplyfflngt","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000075","MVB000075"
"deploy off person","","","dplyffprsn","dplyffprsn","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000076","MVB000076"
"deploy off timestamp","deploy off date","","dplyfftmstmp","dplyfftmst","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000077","MVB000077"
"deploy on latitude","","","dplynlttd","dplynlttd","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000078","MVB000078"
"deploy on longitude","","","dplynlngtd","dplynlngtd","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000079","MVB000079"
"deploy on person","","","dplynprsn","dplynprsn","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000080","MVB000080"
"deploy on timestamp","deploy on date","","dplyntmstmp","dplyntmstm","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000081","MVB000081"
"deployment comments","","","dplymntcmmnts","dplymntcmm","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000082","MVB000082"
"deployment end comments","","","dplymntndcmmnts","dplymntndc","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000083","MVB000083"
"deployment end type","","","dplymntndtyp","dplymntndt","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000084","MVB000084"
"deployment ID","","","dplymntID","dplymntID","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000085","MVB000085"
"duty cycle","","","dtycycl","dtycycl","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000086","MVB000086"
"end timestamp","","","ndtmstmp","ndtmstmp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000102","MVB000102"
"eobs acceleration axes","","","bscclrtnxs","bscclrtnxs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000087","MVB000087"
"eobs acceleration sampling frequency per axis","","","bscclrtnsmplngfrqncyprxs","bscclrtnsm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000088","MVB000088"
"eobs accelerations raw","","","bscclrtnsrw","bscclrtnsr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000089","MVB000089"
"eobs activity","","","bsctvty","bsctvty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000090","MVB000090"
"eobs activity samples","","","bsctvtysmpls","bsctvtysmp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000091","MVB000091"
"eobs battery voltage","","","bsbttryvltg","bsbttryvlt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000092","MVB000092"
"eobs fix battery voltage","","","bsfxbttryvltg","bsfxbttryv","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000093","MVB000093"
"eobs horizontal accuracy estimate","","","bshrzntlccrcystmt","bshrzntlcc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000094","MVB000094"
"eobs key bin checksum","","","bskybnchcksm","bskybnchck","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000095","MVB000095"
"eobs speed accuracy estimate","","","bsspdccrcystmt","bsspdccrcy","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000096","MVB000096"
"eobs start timestamp","","","bsstrttmstmp","bsstrttmst","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000097","MVB000097"
"eobs status","","","bsstts","bsstts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000098","MVB000098"
"eobs temperature","","","bstmprtr","bstmprtr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000099","MVB000099"
"eobs type of fix","","","bstypffx","bstypffx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000100","MVB000100"
"eobs used time to get fix","","","bssdtmtgtfx","bssdtmtgtf","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000101","MVB000101"
"event ID","","event_id","vntID","vntID","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000103","MVB000103"
"external temperature","temperature external","ext_temp","xtrnltmprtr","xtrnltmprt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104","MVB000104"
"Flt switch","","flt_switch","Fltswtch","Fltswtch","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000105","MVB000105"
"geolocator calibration","","geoloc_cal","glctrclbrtn","glctrclbrt","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000106","MVB000106"
"geolocator fix type","","geoloc_fxt","glctrfxtyp","glctrfxtyp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000107","MVB000107"
"geolocator light threshold","","geoloc_lit","glctrlghtthrshld","glctrlghtt","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000108","MVB000108"
"geolocator rise","","geoloc_ris","glctrrs","glctrrs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000215","MVB000215"
"geolocator sensor comments","","geoloc_sc","glctrsnsrcmmnts","glctrsnsrc","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000109","MVB000109"
"geolocator sun elevation angle","","geoloc_sea","glctrsnlvtnngl","glctrsnlvt","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000110","MVB000110"
"geolocator twilight3","","geoloc_tw3","glctrtwlght3","glctrtwlgh","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000216","MVB000216"
"go public date","","go_publ","gpblcdt","gpblcdt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000250","MVB000250"
"activity count","GPS Activity Count","act_count","ctvtycnt","ctvtycnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000114","MVB000114"
"GPS DOP","","gps_dop","GPSDOP","GPSDOP","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115","MVB000115"
"GPS fix type","","gps_fix_t","GPSfxtyp","GPSfxtyp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116","MVB000116"
"GPS fix type raw","","gps_fix_tr","GPSfxtyprw","GPSfxtyprw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000117","MVB000117"
"GPS HDOP","","gps_hdop","GPSHDOP","GPSHDOP","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000118","MVB000118"
"GPS maximum signal strength","","gps_maxss","GPSmxmmsgnlstrngth","GPSmxmmsgn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000119","MVB000119"
"GPS message count","","gps_mesco","GPSmssgcnt","GPSmssgcnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000251","MVB000251"
"GPS satellite count","","gps_sat_ct","GPSstlltcnt","GPSstlltcn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120","MVB000120"
"GPS speed accuracy estimate","speed accuracy estimate","gps_sp_ae","GPSspdccrcystmt","GPSspdccrc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000237","MVB000237"
"GPS time to fix","","gps_ttf","GPStmtfx","GPStmtfx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000121","MVB000121"
"GPS VDOP","","gps_vdop","GPSVDOP","GPSVDOP","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000122","MVB000122"
"grants used","","grants","grntssd","grntssd","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000123","MVB000123"
"ground speed","","grd_speed","grndspd","grndspd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000124","MVB000124"
"GSM MCC-MNC","","","GSMMCC-MNC","GSMMCC-MNC","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000125","MVB000125"
"GSM signal strength","","","GSMsgnlstrngth","GSMsgnlstr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000126","MVB000126"
"Gt sys week","","","Gtsyswk","Gtsyswk","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000111","MVB000111"
"Gt tx count","","","Gttxcnt","Gttxcnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000112","MVB000112"
"gyroscope axes","","","gyrscpxs","gyrscpxs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000252","MVB000252"
"gyroscope sampling frequency per axis","","","gyrscpsmplngfrqncyprxs","gyrscpsmpl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000253","MVB000253"
"habitat","","","hbtt","hbtt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000127","MVB000127"
"habitat according to","","","hbttccrdngt","hbttccrdng","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000128","MVB000128"
"heading","","","hdng","hdng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000129","MVB000129"
"height above ellipsoid","","","hghtbvllpsd","hghtbvllps","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000130","MVB000130"
"height above mean sea level","height above msl","","hghtbvmnslvl","hghtbvmnsl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000131","MVB000131"
"height raw","","","hghtrw","hghtrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000132","MVB000132"
"I am collaborator","","","Imcllbrtr","Imcllbrtr","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000254","MVB000254"
"I am owner","","","Imwnr","Imwnr","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000217","MVB000217"
"I can see data","","","Icnsdt","Icnsdt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000218","MVB000218"
"I have download access","","","Ihvdwnldccss","Ihvdwnldcc","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000255","MVB000255"
"import marked outlier","","","mprtmrkdtlr","mprtmrkdtl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000133","MVB000133"
"individual local identifier","animal ID","animal_id","ndvdllcldntfr","ndvdllcldn","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000134","MVB000134"
"individual taxon canonical name","animal taxon","animal_tax","ndvdltxncnnclnm","ndvdltxncn","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000135","MVB000135"
"internal temperature","temperature internal","temp_intern","ntrnltmprtr","ntrnltmprt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000256","MVB000256"
"lat lower","latitude lower","lat_lower","ltlwr","ltlwr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000136","MVB000136"
"lat upper","latitude upper","lat_upper","ltppr","ltppr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000137","MVB000137"
"license terms","","lic_terms","lcnstrms","lcnstrms","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000138","MVB000138"
"license type","","lic_type","lcnstyp","lcnstyp","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000257","MVB000257"
"light level","gls light level","light_levl","lghtlvl","lghtlvl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000139","MVB000139"
"study local timestamp","","study_locts","stdylcltmstmp","stdylcltms","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000140","MVB000140"
"location accuracy comments","","loc_accr_c","lctnccrcycmmnts","lctnccrcyc","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000141","MVB000141"
"location error numerical","","loc_err_nu","lctnrrrnmrcl","lctnrrrnmr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000142","MVB000142"
"location error percentile","","loc_err_pe","lctnrrrprcntl","lctnrrrprc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000143","MVB000143"
"location error text","","loc_err_te","lctnrrrtxt","lctnrrrtxt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000144","MVB000144"
"location lat","","loc_lat","lctnlt","lctnlt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000145","MVB000145"
"location long","","loc_long","lctnlng","lctnlng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000146","MVB000146"
"long lower","longitude lower","long_lower","lnglwr","lnglwr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000147","MVB000147"
"long upper","longitude upper","long_upper","lngppr","lngppr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000148","MVB000148"
"Lotek CRC status","Lot CRC status","lotek_crcs","LtkCRCstts","LtkCRCstts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000149","MVB000149"
"Lotek CRC status text","Lot CRC status text","lotek_crct","LtkCRCsttstxt","LtkCRCstts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000150","MVB000150"
"magnetic field axes","mag magnetic field axes","mag_fld_ax","mgntcfldxs","mgntcfldxs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000219","MVB000219"
"magnetic field raw x","mag magnetic field raw x","mag_fld_rx","mgntcfldrwx","mgntcfldrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000151","MVB000151"
"magnetic field raw y","mag magnetic field raw y","mag_fld_ry","mgntcfldrwy","mgntcfldrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000152","MVB000152"
"magnetic field raw z","mag magnetic field raw z","mag_fld_rz","mgntcfldrwz","mgntcfldrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000153","MVB000153"
"magnetic field sampling frequency per axis","mag magnetic field sampling frequency per axies","mag_fld_fr","mgntcfldsmplngfrqncyprxs","mgntcfldsm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000220","MVB000220"
"magnetic field x","","mag_fld_x","mgntcfldx","mgntcfldx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000258","MVB000258"
"magnetic field y","","mag_fld_y","mgntcfldy","mgntcfldy","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000259","MVB000259"
"magnetic field z","","mag_fld_z","mgntcfldz","mgntcfldz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000260","MVB000260"
"magnetic fields raw","mag magnetic fields raw","mag_fld_r","mgntcfldsrw","mgntcfldsr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000221","MVB000221"
"main location lat","study reference location latitude","mn_loc_lat","mnlctnlt","mnlctnlt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000222","MVB000222"
"main location long","study reference location longitude","mn_loc_lon","mnlctnlng","mnlctnlng","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000223","MVB000223"
"manipulation comments","","mani_comm","mnpltncmmnts","mnpltncmmn","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000154","MVB000154"
