"name","same_as","shortname_mx10","shortname_novoc","shortname_novoc_max10","entity","nerc_url","key"
"manipulation type","","mani_type","mnpltntyp","mnpltntyp","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000155","MVB000155"
"manually marked outlier","","manm_outl","mnllymrkdtlr","mnllymrkdt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000156","MVB000156"
"manually marked valid","","","mnllymrkdvld","mnllymrkdv","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000157","MVB000157"
"migration stage","","","mgrtnstg","mgrtnstg","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000160","MVB000160"
"migration stage standard","","","mgrtnstgstndrd","mgrtnstgst","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000161","MVB000161"
"modelled","","","mdlld","mdlld","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000162","MVB000162"
"mortality status","","","mrtltystts","mrtltystts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000261","MVB000261"
"Mw activity count","Microwave activity count","","Mwctvtycnt","Mwctvtycnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000158","MVB000158"
"Mw show in KML","Microwave show in KML","","MwshwnKML","MwshwnKML","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000159","MVB000159"
"number of deployed locations","","","nmbrfdplydlctns","nmbrfdplyd","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000224","MVB000224"
"number of deployments","","","nmbrfdplymnts","nmbrfdplym","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000225","MVB000225"
"number of events","","","nmbrfvnts","nmbrfvnts","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000262","MVB000262"
"number of individuals","","","nmbrfndvdls","nmbrfndvdl","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000226","MVB000226"
"number of tags","","","nmbrftgs","nmbrftgs","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000227","MVB000227"
"orientation quaternion raw w","quaternion-raw-w","","rnttnqtrnnrww","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000228","MVB000228"
"orientation quaternion raw x","quaternion-raw-x","","rnttnqtrnnrwx","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000229","MVB000229"
"orientation quaternion raw y","quaternion-raw-y","","rnttnqtrnnrwy","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000230","MVB000230"
"orientation quaternion raw z","quaternion-raw-z","","rnttnqtrnnrwz","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000231","MVB000231"
"orientation quaternions raw","guaternions-raw","","rnttnqtrnnsrw","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000232","MVB000232"
"orientation quaternions sampling frequency","quaterions-sampling-frequency","","rnttnqtrnnssmplngfrqncy","rnttnqtrnn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000233","MVB000233"
"Ornitela transmission protocol","orn transmission protocol","","Orntltrnsmssnprtcl","Orntltrnsm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000163","MVB000163"
"pitch","","","ptch","ptch","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000263","MVB000263"
"principal investigator","principal investigator name","","prncplnvstgtr","prncplnvst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000164","MVB000164"
"principal investigator address","PI contact details","","prncplnvstgtrddrss","prncplnvst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000234","MVB000234"
"principal investigator email","PI email","","prncplnvstgtrml","prncplnvst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000235","MVB000235"
"principal investigator name","","","prncplnvstgtrnm","prncplnvst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000236","MVB000236"
"proofed","","","prfd","prfd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000165","MVB000165"
"provider update timestamp","provider update ts","","prvdrpdttmstmp","prvdrpdttm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000264","MVB000264"
"raptor workshop behavior","","","rptrwrkshpbhvr","rptrwrkshp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000166","MVB000166"
"raptor workshop deployment special event","","","rptrwrkshpdplymntspclvnt","rptrwrkshp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000167","MVB000167"
"raptor workshop migration state","","","rptrwrkshpmgrtnstt","rptrwrkshp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000168","MVB000168"
"receiver ID","","","rcvrID","rcvrID","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000265","MVB000265"
"relative humidity","","","rltvhmdty","rltvhmdty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000266","MVB000266"
"roll","","","rll","rll","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000267","MVB000267"
"sampling frequency","","","smplngfrqncy","smplngfrqn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000169","MVB000169"
"sensor type","","","snsrtyp","snsrtyp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000170","MVB000170"
"sensor type IDs","","","snsrtypIDs","snsrtypIDs","n/a","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000268","MVB000268"
"solar cell voltage","","","slrcllvltg","slrcllvltg","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000269","MVB000269"
"solar voltage percent","","","slrvltgprcnt","slrvltgprc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000270","MVB000270"
"start timestamp","","","strttmstmp","strttmstmp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000171","MVB000171"
"study ID","Movebank ID","","stdyID","stdyID","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000172","MVB000172"
"study name","","","stdynm","stdynm","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000173","MVB000173"
"study permission","","","stdyprmssn","stdyprmssn","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000271","MVB000271"
"study reference location","","","stdyrfrnclctn","stdyrfrncl","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000174","MVB000174"
"study site","","","stdyst","stdyst","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000175","MVB000175"
"study summary","study objective","","stdysmmry","stdysmmry","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000176","MVB000176"
"study timezone","","","stdytmzn","stdytmzn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000177","MVB000177"
"study type","","","stdytyp","stdytyp","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000272","MVB000272"
"study-specific measurement","","","stdy-spcfcmsrmnt","stdy-spcfc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000178","MVB000178"
"suspend license terms","","","sspndlcnstrms","sspndlcnst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000238","MVB000238"
"tag beacon frequency","beacon frequency","","tgbcnfrqncy","tgbcnfrqnc","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000065","MVB000065"
"tag comments","","","tgcmmnts","tgcmmnts","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000179","MVB000179"
"tag failure comments","","","tgflrcmmnts","tgflrcmmnt","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000180","MVB000180"
"tag ID","tag local identifier","","tgID","tgID","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000181","MVB000181"
"tag local identifier","tag ID","","tglcldntfr","tglcldntfr","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000182","MVB000182"
"tag manufacturer name","manufacturer name","","tgmnfctrrnm","tgmnfctrrn","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000183","MVB000183"
"tag mass","weight","","tgmss","tgmss","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000184","MVB000184"
"tag model","","","tgmdl","tgmdl","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000185","MVB000185"
"tag processing type","processing type","","tgprcssngtyp","tgprcssngt","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000186","MVB000186"
"tag production date","","","tgprdctndt","tgprdctndt","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000187","MVB000187"
"tag readout method","","","tgrdtmthd","tgrdtmthd","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000188","MVB000188"
"tag serial no","serial no","","tgsrln","tgsrln","tag","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000189","MVB000189"
"tag tech spec","","","tgtchspc","tgtchspc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000190","MVB000190"
"tag voltage","","","tgvltg","tgvltg","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000191","MVB000191"
"taxon IDs","","","txnIDs","txnIDs","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000273","MVB000273"
"TechnoSmart activity","","","TchnSmrtctvty","TchnSmrtct","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000192","MVB000192"
"TechnoSmart signal quality","","","TchnSmrtsgnlqlty","TchnSmrtsg","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000193","MVB000193"
"temperature max","","","tmprtrmx","tmprtrmx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000194","MVB000194"
"temperature min","","","tmprtrmn","tmprtrmn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000195","MVB000195"
"there are data which I cannot see","","","thrrdtwhchIcnnts","thrrdtwhch","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000239","MVB000239"
"tilt angle","","","tltngl","tltngl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000196","MVB000196"
"tilt x","","","tltx","tltx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000197","MVB000197"
"tilt y","","","tlty","tlty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000198","MVB000198"
"tilt z","","","tltz","tltz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000199","MVB000199"
"timestamp","","","tmstmp","tmstmp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000200","MVB000200"
"timestamp end","","","tmstmpnd","tmstmpnd","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000274","MVB000274"
"timestamp of first deployed location","","","tmstmpffrstdplydlctn","tmstmpffrs","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000240","MVB000240"
"timestamp of last deployed location","","","tmstmpflstdplydlctn","tmstmpflst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000241","MVB000241"
"timestamp start","","","tmstmpstrt","tmstmpstrt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000275","MVB000275"
"transmission protocol","","","trnsmssnprtcl","trnsmssnpr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000276","MVB000276"
"transmission timestamp","","","trnsmssntmstmp","trnsmssntm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000201","MVB000201"
"tsn","","","tsn","tsn","taxon","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000277","MVB000277"
"twilight","gls twilight","","twlght","twlght","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000113","MVB000113"
"twilight excluded","","","twlghtxcldd","twlghtxcld","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000242","MVB000242"
"twilight inserted","","","twlghtnsrtd","twlghtnsrt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000243","MVB000243"
"underwater count","","","ndrwtrcnt","ndrwtrcnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000202","MVB000202"
"underwater time","","","ndrwtrtm","ndrwtrtm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000203","MVB000203"
"update ts","","","pdtts","pdtts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000204","MVB000204"
"UTM easting","","","UTMstng","UTMstng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000205","MVB000205"
"UTM northing","","","UTMnrthng","UTMnrthng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000206","MVB000206"
"UTM zone","","","UTMzn","UTMzn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000207","MVB000207"
"vertical error numerical","","","vrtclrrrnmrcl","vrtclrrrnm","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000208","MVB000208"
"visible","","","vsbl","vsbl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000209","MVB000209"
"waterbird workshop: behavior","","","wtrbrdwrkshp:bhvr","wtrbrdwrks","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000210","MVB000210"
"waterbird workshop: deployment special event","","","wtrbrdwrkshp:dplymntspclvnt","wtrbrdwrks","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000211","MVB000211"
"waterbird workshop: migration state","","","wtrbrdwrkshp:mgrtnstt","wtrbrdwrks","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000212","MVB000212"
"wet count","","","wtcnt","wtcnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000213","MVB000213"
"Argos location algorithm","","","Argslctnlgrthm","Argslctnlg","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000278","MVB000278"
"Argos nb mes identical","","","Argsnbmsdntcl","Argsnbmsdn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000279","MVB000279"
"contact person ID","","","cntctprsnID","cntctprsnI","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000280","MVB000280"
"ECG raw","heartrate ECG raw","","ECGrw","ECGrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000281","MVB000281"
"ECG sampling frequency","heartrate ECG sampling frequency","","ECGsmplngfrqncy","ECGsmplngf","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000282","MVB000282"
"ECGs raw","heartrate ECGs raw","","ECGsrw","ECGsrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000283","MVB000283"
"GPS PDOP","","","GPSPDOP","GPSPDOP","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000284","MVB000284"
"GPS twilight","","","GPStwlght","GPStwlght","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000285","MVB000285"
"Gt activity count","","","Gtctvtycnt","Gtctvtycnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000286","MVB000286"
"heart rate","heartrate heart rate","","hrtrt","hrtrt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000287","MVB000287"
"Icarus solar cell current","","","Icrsslrcllcrrnt","Icrsslrcll","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000288","MVB000288"
"is location sensor","","","slctnsnsr","slctnsnsr","tag_type","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000289","MVB000289"
"is test","","","stst","stst","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000290","MVB000290"
"Lotek fix status","","","Ltkfxstts","Ltkfxstts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000291","MVB000291"
"receiver deployment ID","","","rcvrdplymntID","rcvrdplymn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000292","MVB000292"
"receiver detector ID","","","rcvrdtctrID","rcvrdtctrI","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000293","MVB000293"
"RR interval","heartrate RR interval","","RRntrvl","RRntrvl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000294","MVB000294"
"tag battery voltage","","","tgbttryvltg","tgbttryvlt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000295","MVB000295"
"telemetry detection count","","","tlmtrydtctncnt","tlmtrydtct","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000296","MVB000296"
"telemetry run ID","","","tlmtryrnID","tlmtryrnID","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000297","MVB000297"
"voltage resolution","heartrate voltage resolution","","vltgrsltn","vltgrsltn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000298","MVB000298"
"wet","","","wt","wt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000299","MVB000299"
"CTT solar current since last fix","","","CTTslrcrrntsnclstfx","CTTslrcrrn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000300","MVB000300"
"GMatrix alert","","","GMtrxlrt","GMtrxlrt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000301","MVB000301"
"GMatrix alert message","","","GMtrxlrtmssg","GMtrxlrtms","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000302","MVB000302"
"GMatrix device type","","","GMtrxdvctyp","GMtrxdvcty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000303","MVB000303"
"GMatrix event","","","GMtrxvnt","GMtrxvnt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000304","MVB000304"
"GMatrix firmware version","","","GMtrxfrmwrvrsn","GMtrxfrmwr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000305","MVB000305"
"GMatrix GPS event","","","GMtrxGPSvnt","GMtrxGPSvn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000306","MVB000306"
"GMatrix GPS event text","","","GMtrxGPSvnttxt","GMtrxGPSvn","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000307","MVB000307"
"GMatrix GPS fix interval","","","GMtrxGPSfxntrvl","GMtrxGPSfx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000308","MVB000308"
"GMatrix GPS fix interval text","","","GMtrxGPSfxntrvltxt","GMtrxGPSfx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000309","MVB000309"
"GMatrix hardware version","","","GMtrxhrdwrvrsn","GMtrxhrdwr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000310","MVB000310"
"GMatrix is moving","","","GMtrxsmvng","GMtrxsmvng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000311","MVB000311"
"GMatrix is moving text","","","GMtrxsmvngtxt","GMtrxsmvng","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000312","MVB000312"
"GMatrix last location","","","GMtrxlstlctn","GMtrxlstlc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000313","MVB000313"
"GMatrix last location text","","","GMtrxlstlctntxt","GMtrxlstlc","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000314","MVB000314"
"GMatrix mode","","","GMtrxmd","GMtrxmd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000315","MVB000315"
"GMatrix mode text","","","GMtrxmdtxt","GMtrxmdtxt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000316","MVB000316"
"GMatrix packet type","","","GMtrxpckttyp","GMtrxpcktt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000317","MVB000317"
"Savannah alarm type","","","Svnnhlrmtyp","Svnnhlrmty","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000318","MVB000318"
"Savannah record type","","","Svnnhrcrdtyp","Svnnhrcrdt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000319","MVB000319"
"sequence number","","","sqncnmbr","sqncnmbr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000320","MVB000320"
"Sigfox computed location radius","","","Sgfxcmptdlctnrds","Sgfxcmptdl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000321","MVB000321"
"Sigfox computed location source","","","Sgfxcmptdlctnsrc","Sgfxcmptdl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000322","MVB000322"
"Sigfox computed location status","","","Sgfxcmptdlctnstts","Sgfxcmptdl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000323","MVB000323"
"Sigfox country","","","Sgfxcntry","Sgfxcntry","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000324","MVB000324"
"Sigfox device type","","","Sgfxdvctyp","Sgfxdvctyp","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000325","MVB000325"
"Sigfox duplicates","","","Sgfxdplcts","Sgfxdplcts","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000326","MVB000326"
"Sigfox link quality","","","Sgfxlnkqlty","Sgfxlnkqlt","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000327","MVB000327"
"Sigfox LQI","","","SgfxLQI","SgfxLQI","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000328","MVB000328"
"Sigfox operator","","","Sgfxprtr","Sgfxprtr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000329","MVB000329"
"Sigfox RSSI","","","SgfxRSSI","SgfxRSSI","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000330","MVB000330"
"Sigfox tx interval","","","Sgfxtxntrvl","Sgfxtxntrv","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000331","MVB000331"
"Sigfox tx interval text","","","Sgfxtxntrvltxt","Sgfxtxntrv","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000332","MVB000332"
"Motus batch ID","","","MtsbtchID","MtsbtchID","event","","draft"
"VeDBA","","","VDBA","VDBA","event","","new1"
"Zero crossings amplitude","","","Zrcrssngsmpltd","Zrcrssngsm","event","","new2"
"Zero crossings steps","","","Zrcrssngsstps","Zrcrssngss","event","","new3"
"Sigfox payload","","","Sgfxpyld","Sgfxpyld","event","","new4"
"TinyFox last error","","","TnyFxlstrrr","TnyFxlstrr","event","","new5"
"TinyFox max movement index","","","TnyFxmxmvmntndx","TnyFxmxmvm","event","","new6"
"TinyFox sunny index start voltage","","","TnyFxsnnyndxstrtvltg","TnyFxsnnyn","event","","new7"
"TinyFox sunny index voltage increase","","","TnyFxsnnyndxvltgncrs","TnyFxsnnyn","event","","new8"
"TinyFox total VeDBA","","","TnyFxttlVDBA","TnyFxttlVD","event","","new9"
"TinyFox VeDBA burst sum","","","TnyFxVDBAbrstsm","TnyFxVDBAb","","","new10"
"TinyFox total VeDBA count","","","TnyFxttlVDBAcnt","TnyFxttlVD","event","","new11"
"accelerations","","","cclrtns","cclrtns","event","","new12"
"activity x","","","ctvtyx","ctvtyx","event","","new13"
"activity y","","","ctvtyy","ctvtyy","event","","new14"
"activity z","","","ctvtyz","ctvtyz","event","","new15"
"alt index ID","","","ltndxID","ltndxID","event","","new16"
"animal birth/hatch latitude","","","nmlbrth/htchlttd","nmlbrth/ht","animal","","new17"
"animal birth/hatch longitude","","","nmlbrth/htchlngtd","nmlbrth/ht","animal","","new18"
"animal group ID","","","nmlgrpID","nmlgrpID","animal","","new19"
"animal marker ID","","","nmlmrkrID","nmlmrkrID","animal","","new20"
"animal mates","","","nmlmts","nmlmts","animal","","new21"
"animal mortality date","","","nmlmrtltydt","nmlmrtltyd","animal","","new22"
"animal mortality latitude","","","nmlmrtltylttd","nmlmrtltyl","animal","","new23"
"animal mortality longitude","","","nmlmrtltylngtd","nmlmrtltyl","animal","","new24"
"animal mortality type","","","nmlmrtltytyp","nmlmrtltyt","animal","","new25"
"animal offspring","","","nmlffsprng","nmlffsprng","animal","","new26"
"animal parents","","","nmlprnts","nmlprnts","animal","","new27"
"animal siblings","","","nmlsblngs","nmlsblngs","animal","","new28"
"capture handling time","","","cptrhndlngtm","cptrhndlng","deployment","","new29"
"capture latitude","","","cptrlttd","cptrlttd","deployment","","new30"
"capture longitude","","","cptrlngtd","cptrlngtd","deployment","","new31"
"capture method","","","cptrmthd","cptrmthd","deployment","","new32"
"capture timestamp","","","cptrtmstmp","cptrtmstmp","deployment","","new33"
"DBA comments","","","DBAcmmnts","DBAcmmnts","deployment","","new34"
"deploy-off measurements","","","dply-ffmsrmnts","dply-ffmsr","deployment","","new35"
"deploy-off sampling","","","dply-ffsmplng","dply-ffsmp","deployment","","new36"
"deploy-on measurements","","","dply-nmsrmnts","dply-nmsrm","deployment","","new37"
"deploy-on sampling","","","dply-nsmplng","dply-nsmpl","deployment","","new38"
"event group ID","","","vntgrpID","vntgrpID","event","","new39"
"georeference protocol","","","grfrncprtcl","grfrncprtc","deployment","","new40"
"GPS GDOP","","","GPSGDOP","GPSGDOP","event","","new41"
"GPS TDOP","","","GPSTDOP","GPSTDOP","event","","new42"
"height above ground level","","","hghtbvgrndlvl","hghtbvgrnd","event","","new43"
"individual count","","","ndvdlcnt","ndvdlcnt","event","","new44"
"lat median","","","ltmdn","ltmdn","event","","new45"
"lat sd","","","ltsd","ltsd","event","","new46"
"locality","","","lclty","lclty","event","","new47"
"locality according to","","","lcltyccrdngt","lcltyccrdn","deployment","","new48"
"long median","","","lngmdn","lngmdn","event","","new49"
"long sd","","","lngsd","lngsd","event","","new50"
"Lotek eRes","","","LtkRs","LtkRs","event","","new51"
"manipulation status","","","mnpltnstts","mnpltnstts","event","","new52"
"observer","","","bsrvr","bsrvr","event","","new53"
"ODBA","","","ODBA","ODBA","event","","new54"
"outlier comments","","","tlrcmmnts","tlrcmmnts","deployment","","new55"
"receiver latitude","","","rcvrlttd","rcvrlttd","event","","new56"
"receiver longitude","","","rcvrlngtd","rcvrlngtd","event","","new57"
"scheduled detachment date","","","schdlddtchmntdt","schdlddtch","deployment","","new58"
"speed accuracy","","","spdccrcy","spdccrcy","event","","new59"
"tag backup voltage","","","tgbckpvltg","tgbckpvltg","event","","new60"
"tag firmware","","","tgfrmwr","tgfrmwr","deployment","","new61"
"tag retrieval date","","","tgrtrvldt","tgrtrvldt","deployment","","new62"
"track segment ID","","","trcksgmntID","trcksgmntI","event","","new63"
"vertical speed","","","vrtclspd","vrtclspd","event","","new64"
"WC residual","","","WCrsdl","WCrsdl","event","","new65"
